station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
WYS,2023-09-01 20:55,73.40,46.40,38.18,210.00,14.00,0.00,30.10,M,10.00,23.00,FEW,SCT,SCT,M,7000.00,9000.00,11000.00,M,M,M,M,M,M,M,M,73.40,KWYS 012055Z AUTO 21014G23KT 10SM FEW070 SCT090 SCT110 23/08 A3010 RMK AO2,M
WYS,2023-09-01 21:55,66.20,55.40,68.15,150.00,4.00,0.02,30.11,M,10.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,66.20,KWYS 012155Z AUTO 15004KT 10SM FEW110 19/13 A3011 RMK AO2 P0002,M
WYS,2023-09-01 22:55,66.20,55.40,68.15,180.00,6.00,0.00,30.11,M,10.00,M,SCT,BKN,M,M,6500.00,11000.00,M,M,M,M,M,M,M,M,M,66.20,KWYS 012255Z AUTO 18006KT 10SM SCT065 BKN110 19/13 A3011 RMK AO2,M
WYS,2023-09-01 23:55,62.60,53.60,72.38,230.00,8.00,0.00,30.14,M,10.00,13.00,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,62.60,KWYS 012355Z AUTO 23008G13KT 10SM SCT110 17/12 A3014 RMK AO2,M
WYS,2023-09-02 00:55,60.80,55.40,82.37,30.00,4.00,0.00,30.15,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,60.80,KWYS 020055Z AUTO 03004KT 10SM FEW120 16/13 A3015 RMK AO2,M
WYS,2023-09-02 01:55,57.20,57.20,100.00,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,KWYS 020155Z AUTO 00000KT 10SM CLR 14/14 A3015 RMK AO2,M
WYS,2023-09-02 02:55,57.20,55.40,93.69,0.00,0.00,0.00,30.19,M,10.00,M,FEW,BKN,OVC,M,4900.00,6000.00,7000.00,M,M,M,M,M,M,M,M,57.20,KWYS 020255Z AUTO 00000KT 10SM FEW049 BKN060 OVC070 14/13 A3019 RMK AO2,M
WYS,2023-09-02 03:55,53.60,53.60,100.00,160.00,3.00,0.00,30.21,M,10.00,M,SCT,M,M,M,8000.00,M,M,M,M,M,M,M,M,M,M,53.60,KWYS 020355Z AUTO 16003KT 10SM SCT080 12/12 A3021 RMK AO2,M
WYS,2023-09-02 04:55,53.60,53.60,100.00,0.00,0.00,0.00,30.21,M,10.00,M,FEW,BKN,M,M,5000.00,10000.00,M,M,M,M,M,M,M,M,M,53.60,KWYS 020455Z AUTO 00000KT 10SM FEW050 BKN100 12/12 A3021 RMK AO2,M
WYS,2023-09-02 05:55,51.80,51.80,100.00,0.00,0.00,0.00,30.22,M,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,51.80,KWYS 020555Z AUTO 00000KT 10SM FEW100 11/11 A3022 RMK AO2,M
WYS,2023-09-02 06:55,50.00,50.00,100.00,20.00,4.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,KWYS 020655Z AUTO 02004KT 10SM CLR 10/10 A3022 RMK AO2,M
WYS,2023-09-02 07:55,50.00,50.00,100.00,0.00,0.00,0.00,30.21,M,10.00,M,FEW,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,50.00,KWYS 020755Z AUTO 00000KT 10SM FEW055 10/10 A3021 RMK AO2,M
WYS,2023-09-02 08:55,48.20,48.20,100.00,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,48.20,KWYS 020855Z AUTO 00000KT 10SM CLR 09/09 A3021 RMK AO2,M
WYS,2023-09-02 09:55,46.40,46.40,100.00,0.00,0.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.40,KWYS 020955Z AUTO 00000KT 10SM CLR 08/08 A3022 RMK AO2,M
WYS,2023-09-02 10:55,46.40,46.40,100.00,0.00,0.00,0.00,30.23,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,46.40,KWYS 021055Z AUTO 00000KT 10SM OVC065 08/08 A3023 RMK AO2,M
WYS,2023-09-02 11:55,48.20,48.20,100.00,0.00,0.00,0.00,30.24,M,10.00,M,BKN,OVC,M,M,6500.00,7500.00,M,M,M,M,M,M,M,M,M,48.20,KWYS 021155Z AUTO 00000KT 10SM BKN065 OVC075 09/09 A3024 RMK AO2,M
WYS,2023-09-02 12:55,50.00,50.00,100.00,0.00,0.00,0.00,30.26,M,10.00,M,SCT,SCT,OVC,M,4400.00,5000.00,6000.00,M,M,M,M,M,M,M,M,50.00,KWYS 021255Z AUTO 00000KT 10SM SCT044 SCT050 OVC060 10/10 A3026 RMK AO2,M
WYS,2023-09-02 13:55,50.00,50.00,100.00,0.00,0.00,0.00,30.27,M,10.00,M,FEW,SCT,OVC,M,3800.00,4500.00,6500.00,M,M,M,M,M,M,M,M,50.00,KWYS 021355Z AUTO 00000KT 10SM FEW038 SCT045 OVC065 10/10 A3027 RMK AO2,M
WYS,2023-09-02 14:55,55.40,53.60,93.65,0.00,0.00,0.00,30.28,M,10.00,M,SCT,BKN,M,M,5000.00,6000.00,M,M,M,M,M,M,M,M,M,55.40,KWYS 021455Z AUTO 00000KT 10SM SCT050 BKN060 13/12 A3028 RMK AO2,M
WYS,2023-09-02 15:55,60.80,51.80,72.20,0.00,0.00,0.00,30.28,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,KWYS 021555Z AUTO 00000KT 10SM 16/11 A3028 RMK AO2,M
WYS,2023-09-02 16:55,64.40,50.00,59.50,200.00,13.00,0.00,30.28,M,10.00,M,SCT,SCT,SCT,M,3600.00,4900.00,5500.00,M,M,M,M,M,M,M,M,64.40,KWYS 021655Z AUTO 20013KT 10SM SCT036 SCT049 SCT055 18/10 A3028 RMK AO2,M
WYS,2023-09-02 17:55,64.40,50.00,59.50,230.00,9.00,0.00,30.28,M,10.00,M,SCT,SCT,OVC,M,3900.00,4800.00,5500.00,M,M,M,M,M,M,M,M,64.40,KWYS 021755Z AUTO 23009KT 10SM SCT039 SCT048 OVC055 18/10 A3028 RMK AO2,M
WYS,2023-09-02 18:55,64.40,50.00,59.50,220.00,8.00,0.00,30.28,M,10.00,14.00,FEW,OVC,M,M,3700.00,6000.00,M,M,M,M,M,M,M,M,M,64.40,KWYS 021855Z AUTO 22008G14KT 10SM FEW037 OVC060 18/10 A3028 RMK AO2,M
WYS,2023-09-02 19:55,66.20,50.00,55.88,210.00,11.00,0.00,30.27,M,10.00,17.00,SCT,BKN,OVC,M,3800.00,4400.00,7000.00,M,M,M,M,M,M,M,M,66.20,KWYS 021955Z AUTO 21011G17KT 10SM SCT038 BKN044 OVC070 19/10 A3027 RMK AO2,M
WYS,2023-09-02 20:55,68.00,50.00,52.51,200.00,15.00,0.00,30.26,M,10.00,M,SCT,SCT,BKN,M,4200.00,5000.00,5500.00,M,M,M,M,M,M,M,M,68.00,KWYS 022055Z AUTO 20015KT 10SM SCT042 SCT050 BKN055 20/10 A3026 RMK AO2,M
WYS,2023-09-02 21:55,69.80,48.20,46.16,260.00,12.00,0.00,30.25,M,10.00,M,SCT,BKN,M,M,4600.00,7000.00,M,M,M,M,M,M,M,M,M,69.80,KWYS 022155Z AUTO 26012KT 230V290 10SM SCT046 BKN070 21/09 A3025 RMK AO2,M
WYS,2023-09-02 22:55,71.60,50.00,46.43,210.00,12.00,0.00,30.24,M,10.00,M,SCT,BKN,BKN,M,4800.00,7000.00,8500.00,M,M,M,M,M,M,M,M,71.60,KWYS 022255Z AUTO 21012KT 10SM SCT048 BKN070 BKN085 22/10 A3024 RMK AO2,M
WYS,2023-09-02 23:55,69.80,50.00,49.37,220.00,8.00,0.00,30.23,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KWYS 022355Z AUTO 22008G15KT 10SM CLR 21/10 A3023 RMK AO2,M
WYS,2023-09-03 00:55,69.80,48.20,46.16,220.00,9.00,0.00,30.22,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,KWYS 030055Z AUTO 22009G14KT 10SM CLR 21/09 A3022 RMK AO2,M
WYS,2023-09-03 01:55,64.40,51.80,63.60,0.00,0.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,KWYS 030155Z AUTO 00000KT 10SM CLR 18/11 A3022 RMK AO2,M
WYS,2023-09-03 02:55,59.00,51.80,76.98,0.00,0.00,0.00,30.24,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,KWYS 030255Z AUTO 00000KT 10SM CLR 15/11 A3024 RMK AO2,M
WYS,2023-09-03 03:55,60.80,51.80,72.20,M,4.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,KWYS 030355Z AUTO VRB04KT 10SM CLR 16/11 A3025 RMK AO2,M
WYS,2023-09-03 04:55,55.40,53.60,93.65,0.00,0.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,KWYS 030455Z AUTO 00000KT 10SM CLR 13/12 A3025 RMK AO2,M
WYS,2023-09-03 05:55,53.60,53.60,100.00,0.00,0.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,KWYS 030555Z AUTO 00000KT 10SM CLR 12/12 A3025 RMK AO2,M
WYS,2023-09-03 06:55,50.00,50.00,100.00,0.00,0.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,KWYS 030655Z AUTO 00000KT 10SM CLR 10/10 A3025 RMK AO2,M
WYS,2023-09-03 07:55,46.40,46.40,100.00,0.00,0.00,0.00,30.24,M,10.00,M,FEW,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,46.40,KWYS 030755Z AUTO 00000KT 10SM FEW095 08/08 A3024 RMK AO2,M
WYS,2023-09-03 08:55,44.60,44.60,100.00,0.00,0.00,0.00,30.24,M,10.00,M,BKN,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,44.60,KWYS 030855Z AUTO 00000KT 10SM BKN050 07/07 A3024 RMK AO2,M
WYS,2023-09-03 09:55,44.60,44.60,100.00,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.60,KWYS 030955Z AUTO 00000KT 10SM CLR 07/07 A3023 RMK AO2,M
WYS,2023-09-03 10:55,42.80,42.80,100.00,0.00,0.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,42.80,KWYS 031055Z AUTO 00000KT 10SM CLR 06/06 A3022 RMK AO2,M
WYS,2023-09-03 11:55,41.00,41.00,100.00,0.00,0.00,0.00,30.20,M,10.00,M,FEW,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,41.00,KWYS 031155Z AUTO 00000KT 10SM FEW095 05/05 A3020 RMK AO2,M
WYS,2023-09-03 12:55,41.00,42.80,M,0.00,0.00,0.00,30.19,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,M,KWYS 031255Z AUTO 00000KT 10SM SCT070 05/06 A3019 RMK AO2,M
WYS,2023-09-03 13:55,48.20,48.20,100.00,0.00,0.00,0.00,30.20,M,8.00,M,FEW,BKN,OVC,M,4200.00,7000.00,8000.00,M,-RA,M,M,M,M,M,M,48.20,KWYS 031355Z AUTO 00000KT 8SM -RA FEW042 BKN070 OVC080 09/09 A3020 RMK AO2,M
WYS,2023-09-03 14:55,50.00,50.00,100.00,0.00,0.00,0.01,30.20,M,10.00,M,BKN,BKN,M,M,4700.00,5500.00,M,M,M,M,M,M,M,M,M,50.00,KWYS 031455Z AUTO 00000KT 10SM BKN047 BKN055 10/10 A3020 RMK AO2 P0001,M
WYS,2023-09-03 15:55,51.80,51.80,100.00,0.00,0.00,0.00,30.18,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,KWYS 031555Z AUTO 00000KT 10SM 11/11 A3018 RMK AO2,M
WYS,2023-09-03 16:55,53.60,53.60,100.00,40.00,5.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,KWYS 031655Z AUTO 04005KT 10SM CLR 12/12 A3017 RMK AO2,M
WYS,2023-09-03 17:55,55.40,55.40,100.00,100.00,3.00,0.00,30.14,M,3.00,M,SCT,BKN,M,M,3400.00,4300.00,M,M,BR,M,M,M,M,M,M,55.40,KWYS 031755Z AUTO 10003KT 3SM BR SCT034 BKN043 13/13 A3014 RMK AO2,M
WYS,2023-09-03 18:55,57.20,57.20,100.00,0.00,0.00,0.00,30.13,M,10.00,M,FEW,SCT,SCT,M,2200.00,7500.00,10000.00,M,M,M,M,M,M,M,M,57.20,KWYS 031855Z AUTO 00000KT 10SM FEW022 SCT075 SCT100 14/14 A3013 RMK AO2,M
WYS,2023-09-03 19:55,60.80,57.20,87.92,150.00,3.00,0.00,30.10,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,KWYS 031955Z AUTO 15003KT 10SM 16/14 A3010 RMK AO2,M
WYS,2023-09-03 20:55,60.80,57.20,87.92,230.00,6.00,0.00,30.08,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,KWYS 032055Z AUTO 23006KT 10SM 16/14 A3008 RMK AO2,M
WYS,2023-09-03 21:55,62.60,57.20,82.50,230.00,5.00,0.00,30.06,M,10.00,12.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,KWYS 032155Z AUTO 23005G12KT 10SM 17/14 A3006 RMK AO2,M
WYS,2023-09-03 22:55,55.40,55.40,100.00,230.00,5.00,0.00,30.07,M,6.00,M,BKN,M,M,M,6500.00,M,M,M,-DZ,M,M,M,M,M,M,55.40,KWYS 032255Z AUTO 23005KT 6SM -DZ BKN065 13/13 A3007 RMK AO2,M
WYS,2023-09-03 23:55,55.40,55.40,100.00,0.00,0.00,0.01,30.03,M,10.00,M,FEW,FEW,M,M,9500.00,11000.00,M,M,M,M,M,M,M,M,M,55.40,KWYS 032355Z AUTO 00000KT 10SM FEW095 FEW110 13/13 A3003 RMK AO2 P0001,M
WYS,2023-09-04 00:55,55.40,55.40,100.00,0.00,0.00,0.00,30.02,M,10.00,M,FEW,SCT,BKN,M,1200.00,3600.00,7000.00,M,M,M,M,M,M,M,M,55.40,KWYS 040055Z AUTO 00000KT 10SM FEW012 SCT036 BKN070 13/13 A3002 RMK AO2,M
WYS,2023-09-04 01:55,55.40,55.40,100.00,0.00,0.00,0.00,30.02,M,10.00,M,SCT,BKN,OVC,M,2000.00,4800.00,10000.00,M,M,M,M,M,M,M,M,55.40,KWYS 040155Z AUTO 00000KT 10SM SCT020 BKN048 OVC100 13/13 A3002 RMK AO2,M
WYS,2023-09-04 02:55,55.40,55.40,100.00,200.00,8.00,0.00,30.04,M,9.00,M,SCT,BKN,OVC,M,4500.00,6000.00,7500.00,M,M,M,M,M,M,M,M,55.40,KWYS 040255Z AUTO 20008KT 9SM SCT045 BKN060 OVC075 13/13 A3004 RMK AO2,M
WYS,2023-09-04 03:55,51.80,53.60,M,210.00,12.00,0.00,30.05,M,9.00,M,FEW,SCT,BKN,M,1300.00,5000.00,6500.00,M,M,M,M,M,M,M,M,M,KWYS 040355Z AUTO 21012KT 9SM FEW013 SCT050 BKN065 11/12 A3005 RMK AO2,M
WYS,2023-09-04 04:55,51.80,51.80,100.00,140.00,4.00,0.00,29.99,M,10.00,M,FEW,BKN,OVC,M,2800.00,7500.00,10000.00,M,M,M,M,M,M,M,M,51.80,KWYS 040455Z AUTO 14004KT 10SM FEW028 BKN075 OVC100 11/11 A2999 RMK AO2,M
WYS,2023-09-04 05:55,50.00,50.00,100.00,0.00,0.00,0.00,29.98,M,10.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,50.00,KWYS 040555Z AUTO 00000KT 10SM FEW120 10/10 A2998 RMK AO2,M
WYS,2023-09-04 06:55,48.20,48.20,100.00,290.00,3.00,0.00,29.96,M,10.00,M,SCT,BKN,M,M,9500.00,12000.00,M,M,M,M,M,M,M,M,M,47.21,KWYS 040655Z AUTO 29003KT 10SM SCT095 BKN120 09/09 A2996 RMK AO2,M
WYS,2023-09-04 07:55,48.20,48.20,100.00,0.00,0.00,0.00,29.95,M,10.00,M,SCT,OVC,M,M,3600.00,6000.00,M,M,M,M,M,M,M,M,M,48.20,KWYS 040755Z AUTO 00000KT 10SM SCT036 OVC060 09/09 A2995 RMK AO2,M
WYS,2023-09-04 08:55,50.00,50.00,100.00,190.00,5.00,0.00,29.95,M,10.00,M,SCT,SCT,OVC,M,2300.00,2900.00,3700.00,M,M,M,M,M,M,M,M,50.00,KWYS 040855Z AUTO 19005KT 10SM SCT023 SCT029 OVC037 10/10 A2995 RMK AO2,M
WYS,2023-09-04 09:55,50.00,50.00,100.00,0.00,0.00,0.00,29.94,M,10.00,M,FEW,SCT,OVC,M,1500.00,2300.00,3500.00,M,M,M,M,M,M,M,M,50.00,KWYS 040955Z AUTO 00000KT 10SM FEW015 SCT023 OVC035 10/10 A2994 RMK AO2,M
WYS,2023-09-04 10:55,50.00,50.00,100.00,190.00,10.00,0.00,29.93,M,10.00,M,FEW,BKN,OVC,M,1100.00,2800.00,6000.00,M,M,M,M,M,M,M,M,50.00,KWYS 041055Z AUTO 19010KT 10SM FEW011 BKN028 OVC060 10/10 A2993 RMK AO2,M
WYS,2023-09-04 11:55,48.20,48.20,100.00,200.00,6.00,0.00,29.91,M,10.00,M,FEW,OVC,M,M,2400.00,3300.00,M,M,M,M,M,M,M,M,M,45.04,KWYS 041155Z AUTO 20006KT 10SM FEW024 OVC033 09/09 A2991 RMK AO2,M
WYS,2023-09-04 12:55,48.20,48.20,100.00,0.00,0.00,0.00,29.91,M,10.00,M,FEW,BKN,OVC,M,1100.00,4300.00,5500.00,M,M,M,M,M,M,M,M,48.20,KWYS 041255Z AUTO 00000KT 10SM FEW011 BKN043 OVC055 09/09 A2991 RMK AO2,M
WYS,2023-09-04 13:55,48.20,48.20,100.00,190.00,6.00,0.00,29.91,M,9.00,M,FEW,BKN,BKN,M,4000.00,4800.00,6000.00,M,M,M,M,M,M,M,M,45.04,KWYS 041355Z AUTO 19006KT 9SM FEW040 BKN048 BKN060 09/09 A2991 RMK AO2,M
WYS,2023-09-04 14:55,50.00,50.00,100.00,210.00,8.00,0.00,29.90,M,10.00,M,SCT,BKN,OVC,M,1300.00,1700.00,2800.00,M,M,M,M,M,M,M,M,50.00,KWYS 041455Z AUTO 21008KT 10SM SCT013 BKN017 OVC028 10/10 A2990 RMK AO2,M
WYS,2023-09-04 15:55,50.00,50.00,100.00,220.00,4.00,0.00,29.90,M,3.00,M,SCT,BKN,BKN,M,3100.00,3700.00,4300.00,M,BR,M,M,M,M,M,M,50.00,KWYS 041555Z AUTO 22004KT 3SM BR SCT031 BKN037 BKN043 10/10 A2990 RMK AO2,M
WYS,2023-09-04 16:55,50.00,51.80,M,210.00,9.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,2300.00,2900.00,M,M,M,M,M,M,M,M,M,M,KWYS 041655Z AUTO 21009KT 10SM BKN023 OVC029 10/11 A2991 RMK AO2,M
WYS,2023-09-04 17:55,51.80,51.80,100.00,210.00,7.00,0.00,29.92,M,9.00,M,FEW,FEW,BKN,M,1400.00,2800.00,4300.00,M,M,M,M,M,M,M,M,51.80,KWYS 041755Z AUTO 21007KT 9SM FEW014 FEW028 BKN043 11/11 A2992 RMK AO2,M
WYS,2023-09-04 18:55,53.60,51.80,93.60,260.00,8.00,0.00,29.92,M,10.00,14.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,KWYS 041855Z AUTO 26008G14KT 10SM 12/11 A2992 RMK AO2,M
WYS,2023-09-04 19:35,51.80,51.80,100.00,M,5.00,0.00,29.93,M,5.00,10.00,FEW,SCT,SCT,M,4000.00,4600.00,5000.00,M,-RA,M,M,M,M,M,M,51.80,KWYS 041935Z AUTO VRB05G10KT 5SM -RA FEW040 SCT046 SCT050 11/11 A2993 RMK AO2,M
WYS,2023-09-04 20:55,51.80,51.80,100.00,270.00,4.00,0.00,29.95,M,9.00,M,BKN,BKN,M,M,4400.00,6000.00,M,M,M,M,M,M,M,M,M,51.80,KWYS 042055Z AUTO 27004KT 9SM BKN044 BKN060 11/11 A2995 RMK AO2,M
WYS,2023-09-04 21:35,51.80,51.80,100.00,0.00,0.00,0.00,29.96,M,9.00,M,FEW,FEW,SCT,M,4400.00,5000.00,5500.00,M,M,M,M,M,M,M,M,51.80,KWYS 042135Z AUTO 00000KT 9SM FEW044 FEW050 SCT055 11/11 A2996 RMK AO2,M
WYS,2023-09-04 22:40,51.80,51.80,100.00,350.00,7.00,0.00,29.97,M,4.00,M,FEW,SCT,SCT,M,1700.00,2400.00,3100.00,M,-RA,M,M,M,M,M,M,51.80,KWYS 042240Z AUTO 35007KT 4SM -RA FEW017 SCT024 SCT031 11/11 A2997 RMK AO2,M
WYS,2023-09-04 23:55,53.60,51.80,93.60,M,5.00,0.00,30.01,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,53.60,KWYS 042355Z AUTO VRB05KT 10SM OVC050 12/11 A3001 RMK AO2,M
WYS,2023-09-05 00:55,53.60,51.80,93.60,0.00,0.00,0.00,30.03,M,8.00,M,FEW,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,53.60,KWYS 050055Z AUTO 00000KT 8SM FEW065 12/11 A3003 RMK AO2,M
